name,id,region,count,size,countpsqmi,count-total,countptotal
Antarctica,ATA,Antarctic,7,5275000,0.001327014,258,0.027131783
French Southern and Antarctic Lands,ATF,Antarctic,19,169800,0.111896349,1136,0.016725352
Cuba,CUB,Caribbean Islands,133,42426,3.134870127,2145,0.062004662
Dominican Republic,DOM,Caribbean Islands,114,18704,6.094952951,1970,0.05786802
Haiti,HTI,Caribbean Islands,140,10716,13.06457633,1893,0.073956683
Jamaica,JAM,Caribbean Islands,80,4244,18.85014138,1792,0.044642857
Puerto Rico,PRI,Caribbean Islands,58,3515,16.50071124,1886,0.030752916
The Bahamas,BHS,Caribbean Islands,55,5359,10.26310879,2099,0.026202954
Trinidad and Tobago,TTO,Caribbean Islands,44,1980,22.22222222,2325,0.018924731
China,CHN,East Asia,355,3705000,0.095816464,6895,0.051486584
Japan,JPN,East Asia,240,145914,1.644804474,5105,0.047012733
Mongolia,MNG,East Asia,19,603900,0.031462163,1092,0.017399267
North Korea,PRK,East Asia,48,46541,1.031348703,1092,0.043956044
South Korea,KOR,East Asia,64,38750,1.651612903,1752,0.03652968
